image_index,label,dataset,baseline_mse,baseline_psnr,baseline_ssim,model_mse,model_psnr,model_ssim
418,6,Gaussian Blur,0.014548917080608303,18.37169331311673,0.8201061634876345,0.02231107168360991,16.51479568438714,0.8005180677162781
419,7,Gaussian Blur,0.009989230620635446,20.004679602304698,0.8151446783296346,0.014054657483103621,18.521797338353114,0.8250445310520439
420,4,Gaussian Blur,0.014377711375425041,18.423102388576304,0.7631862033074617,0.028903515965589217,15.390493243169308,0.6705404846113423
421,0,Gaussian Blur,0.014823654349380546,18.290447202344115,0.8407051060063784,0.021115505753646596,16.753985119948183,0.8074490084890534
422,2,Gaussian Blur,0.015408868869704419,18.122292406894836,0.7507488195983922,0.02559821756363352,15.917902741111403,0.65921337743128
423,5,Gaussian Blur,0.012763143960196385,18.940423321681518,0.7743410343525318,0.02154672210993763,16.66618789440339,0.7244056976055145
424,5,Gaussian Blur,0.015349590162029005,18.139032158053908,0.7981034137290143,0.025102148106554884,16.0028911234743,0.7439949823096725
425,0,Gaussian Blur,0.013253692986230043,18.776630937970154,0.8026695726525864,0.016758020430063574,17.757772844572738,0.8082233490665134
426,2,Gaussian Blur,0.017156665916950226,17.655671054474055,0.824014016440416,0.0397689240154229,14.004561590890994,0.6670591867932202
427,7,Gaussian Blur,0.011156579741162114,19.524689261157572,0.7712901195937435,0.01336071527557711,18.741702909681933,0.7746786446789286
428,1,Gaussian Blur,0.006898249266253287,21.612611165788884,0.8391717589215621,0.006779630212886829,21.68793993578722,0.8518950534560967
429,8,Gaussian Blur,0.013944067439170657,18.5561052546857,0.7762976495713272,0.02507358316676434,16.007835982972043,0.7395949007380592
430,1,Gaussian Blur,0.0056879808297280576,22.450418759838723,0.8523252529054742,0.004527447894578866,23.441465391866462,0.8929140180085634
431,1,Gaussian Blur,0.007302646283026389,21.36519734693358,0.8417698010939342,0.008939662088207364,20.48678896864088,0.8449687614020268
432,2,Gaussian Blur,0.01766685081626453,17.52840858246946,0.7418853908521699,0.033735223304327495,14.719164107638743,0.5293111816203724
433,8,Gaussian Blur,0.017343368095299815,17.608665583499516,0.8282850389539257,0.03044977473092389,15.164159159532268,0.7768363385643199
434,7,Gaussian Blur,0.009171491859991797,20.375600150536183,0.810251729431171,0.013376941154429467,18.73643183401148,0.7825882843681795
435,0,Gaussian Blur,0.013812661804985787,18.597226215064968,0.8584831321053095,0.018572148453186606,17.31137853535796,0.8367089413931025
436,3,Gaussian Blur,0.016476688170966553,17.831300774456537,0.8594829406408171,0.04542474931286746,13.42707460769268,0.6608237097620948
437,2,Gaussian Blur,0.012855455416491123,18.909125334617535,0.7899522557257361,0.024674257671103976,16.077559042791087,0.721560057554596
438,0,Gaussian Blur,0.012143759084536852,19.156468571678047,0.8779678821251385,0.023320971290327785,16.32253365694958,0.8358440584247018
439,5,Gaussian Blur,0.01258417036564278,19.00175410826781,0.8162007436736723,0.019670407535080776,17.061866421953916,0.7963645531781814
440,5,Gaussian Blur,0.014379417916651944,18.42258693974181,0.8255313974242242,0.02681828868892036,15.715689385154011,0.7777733104800819
441,1,Gaussian Blur,0.006676964627351901,21.75420924528322,0.8218352191737701,0.00775329224991259,21.105138455761832,0.8209245038353021
442,8,Gaussian Blur,0.018396691513637355,17.35260274086453,0.7355271624605686,0.04185615557596491,13.78240663451175,0.6403908442319918
443,7,Gaussian Blur,0.012270986334425974,19.111205275433782,0.771568751386037,0.0165358467573915,17.815735610982117,0.7757170992722232
